tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
21.147,39.39064080153171,41.6970549589098,18.143397267547957,24.918004636074922,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.5
21.642,39.25509792630644,41.62782331667672,17.859826977645568,24.684192414900046,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.5
22.144,39.181359968889396,41.59012716361796,17.70779629090282,24.558531543413686,0.0,0.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,0.0,1.0,0.5
22.695,39.0313919293377,41.51339046867671,17.403306994855463,24.306198144604274,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,1.0,1.0,0.5
23.17,38.98490337398523,41.48958390298126,17.31017079485921,24.228837168755515,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,1.0,1.0,0.5
23.71,38.397910849904385,40.96429546246026,16.802231570982897,23.732054235551555,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,1.0,1.0,0.5
24.229,37.7766592557774,40.4087949845748,16.270241547705144,23.209889431727962,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,1.0,1.0,0.5
24.744,37.42846241806573,40.097649218784824,15.974589769417445,22.91885058107925,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,1.0,1.0,0.5
25.268,36.862642086832295,39.59234016131361,15.498011137701425,22.448394377944684,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.0,0.0,1.0,1.0,0.5
25.792,36.343160192758916,39.12874277244674,15.064667963675202,22.01917020199577,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
26.171,36.000277359898284,38.82291804895834,14.780847916469563,21.737278531494457,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
26.672,35.32113773122219,38.2175797037332,14.223878326955129,21.182265999767274,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
27.223,34.86216700334824,37.80878560814373,13.85137879005257,20.809681795999534,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
27.7,34.3824760621215,37.3817950041661,13.465435763504988,20.422431520165706,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
28.206,34.20002958067506,37.21946188976683,13.319551578784848,20.27572200248907,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
28.701,33.508726504433135,36.60471548730087,12.771323564817537,19.722718701829372,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
29.181,33.18282680120122,36.31509632475773,12.515368101256279,19.463603722289346,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
